formula,Temperature,ThermalCond W/m.K
Al,300.0,237.0
Al,1.0,4110.0
Al,2.0,8180.0
Al,3.0,12100.0
Al,4.0,15700.0
Al,5.0,18800.0
Al,6.0,21300.0
Al,7.0,22900.0
Al,8.0,23700.0
Al,9.0,23900.0
Al,10.0,23500.0
Al,15.0,17600.0
Al,20.0,11700.0
Al,30.0,4950.0
Al,40.0,2400.0
Al,50.0,1350.0
Al,60.0,850.0
Al,70.0,585.0
Al,80.0,432.0
Al,90.0,342.0
Al,100.0,302.0
Al,150.0,248.0
Al,200.0,237.0
Al,250.0,235.0
Al,300.0,237.0
Al,350.0,240.0
Al,400.0,240.0
Al,500.0,236.0
Al,600.0,231.0
Al,800.0,218.0
Al,300.0,294.0
Al,298.0,295.0
Al,20.0,8000.0
Al,20.0,6250.0
V rt,300.0,30.7
V rt,298.0,35.0
V rt,9.0,930.0
V rt,7.1,850.0
Rh,300.0,150.0
Rh,310.0,148.5
Rh,514.1,132.0
Rh,500.0,133.0
Rh,1950.0,95.5
Rh,2236.0,91.0
Ru rt,300.0,117.0
Ru rt,82.6,170.0
Ru rt,277.4,110.0
Ru rt,510.1,103.0
Ru rt,476.1,103.0
Ru rt,280.1,109.0
Ru rt,82.9,162.0
Ru rt,404.1,130.5
Ru rt,82.6,209.0
Ru rt,297.6,132.0
ZnS rt,300.0,25.1
W rt,300.0,174.0
W rt,1.0,1440.0
W rt,2.0,2870.0
W rt,3.0,4280.0
W rt,4.0,5630.0
W rt,5.0,6870.0
W rt,6.0,7950.0
W rt,7.0,8800.0
W rt,8.0,9380.0
W rt,9.0,9680.0
W rt,10.0,9710.0
W rt,15.0,7200.0
W rt,20.0,4050.0
W rt,30.0,1440.0
W rt,40.0,692.0
W rt,50.0,427.0
W rt,60.0,314.0
W rt,70.0,258.0
W rt,80.0,229.0
W rt,90.0,217.0
W rt,100.0,208.0
W rt,150.0,192.0
W rt,200.0,185.0
W rt,250.0,180.0
W rt,300.0,174.0
W rt,350.0,167.0
W rt,400.0,159.0
W rt,500.0,146.0
W rt,600.0,137.0
W rt,800.0,125.0
W rt,1000.0,118.0
W rt,1200.0,112.0
W rt,1400.0,108.0
W rt,1600.0,104.0
W rt,1800.0,101.0
W rt,2000.0,98.0
W rt,298.0,130.0
W rt,4.0,75000.0
Hf rt,300.0,23.0
Hf rt,300.0,22.8
Ba8Ge43 ht1,298.0,3.22
Ba8Ge43 ht1,473.0,2.39
Ba8Ge43 ht1,323.0,2.03
Ni,300.0,90.7
Ni,1.0,217.0
Ni,2.0,434.0
Ni,3.0,649.0
Ni,4.0,859.0
Ni,5.0,1060.0
Ni,6.0,1250.0
Ni,7.0,1420.0
Ni,8.0,1580.0
Ni,9.0,1710.0
Ni,10.0,1810.0
Ni,15.0,1950.0
Ni,20.0,1650.0
Ni,30.0,956.0
Ni,40.0,582.0
Ni,50.0,400.0
Ni,60.0,308.0
Ni,70.0,250.0
Ni,80.0,210.0
Ni,90.0,183.0
Ni,100.0,164.0
Ni,150.0,122.0
Ni,200.0,107.0
Ni,250.0,97.5
Ni,300.0,90.7
Ni,350.0,85.0
Ni,400.0,80.2
Ni,500.0,72.2
Ni,600.0,65.6
Ni,800.0,67.6
Ni,1000.0,71.8
Ni,1200.0,76.2
Ni,1400.0,80.4
AgGaSe2 tet,298.0,4.8
AgGaSe2 tet,298.0,9.0
AgGaSe2 tet,373.0,0.94
Dy3Te4,298.0,2.2
